amount,timestamp,user
25.0,2017-11-12 11:13:44,0.0
50.0,2015-08-25 19:01:45,0.0
25.0,2015-03-26 12:03:47,0.0
50.0,2016-07-06 12:24:55,0.0
50.0,2016-05-11 18:13:04,1.0
75.0,2017-01-23 12:55:47,1.0
50.0,2016-05-05 19:03:13,1.0
50.0,2017-07-25 11:39:21,2.0
25.0,2016-06-07 21:50:09,2.0
25.0,2016-03-15 12:04:14,2.0
50.0,2017-07-04 19:03:59,2.0
25.0,2017-09-20 20:07:06,5.0
50.0,2017-07-28 12:56:00,5.0
25.0,2017-07-06 20:43:48,6.0
25.0,2017-11-01 22:25:27,6.0
50.0,2017-12-23 19:01:04,8.0
25.0,2017-11-11 18:56:17,8.0
75.0,2017-06-02 15:50:44,9.0
100.0,2016-12-18 17:30:52,9.0
100.0,2017-10-28 12:43:59,9.0
75.0,2017-11-28 17:21:56,9.0
25.0,2016-03-09 17:15:24,10.0
25.0,2017-01-30 13:33:58,10.0
50.0,2015-11-30 21:51:52,10.0
25.0,2016-12-08 21:40:12,10.0
25.0,2017-07-12 17:02:42,10.0
25.0,2015-09-16 13:15:39,10.0
25.0,2018-05-09 19:22:28,10.0
25.0,2018-01-29 21:12:56,10.0
50.0,2016-04-13 12:17:46,11.0
50.0,2018-01-05 21:39:39,11.0
25.0,2017-05-30 18:53:59,11.0
25.0,2017-12-25 14:31:17,11.0
50.0,2018-03-31 20:06:12,11.0
25.0,2016-10-03 17:22:55,11.0
50.0,2018-05-29 17:41:07,14.0
25.0,2018-05-25 17:03:52,14.0
25.0,2017-12-04 19:18:46,14.0
25.0,2017-09-09 19:24:14,14.0
25.0,2017-06-09 12:43:36,15.0
1000.0,2017-10-01 12:42:23,16.0
500.0,2017-05-31 15:59:39,16.0
25.0,2016-04-07 18:46:31,18.0
25.0,2017-07-25 22:07:55,18.0
25.0,2016-05-23 18:47:38,18.0
50.0,2017-04-07 20:58:04,18.0
25.0,2016-02-01 19:35:12,18.0
25.0,2017-12-03 21:17:03,18.0
50.0,2015-12-27 12:33:21,18.0
25.0,2017-10-18 12:29:40,18.0
25.0,2016-09-29 12:26:27,18.0
25.0,2017-08-30 19:35:13,18.0
25.0,2018-02-15 13:27:02,18.0
50.0,2017-05-01 21:17:26,18.0
25.0,2017-06-19 18:11:22,19.0
