emailsOpened,user,week
3.0,1.0,2015-06-29 00:00:00
2.0,1.0,2015-07-13 00:00:00
2.0,1.0,2015-07-20 00:00:00
3.0,1.0,2015-07-27 00:00:00
1.0,1.0,2015-08-03 00:00:00
2.0,1.0,2015-08-10 00:00:00
1.0,1.0,2015-08-24 00:00:00
2.0,1.0,2015-08-31 00:00:00
3.0,1.0,2015-09-07 00:00:00
2.0,1.0,2015-09-14 00:00:00
2.0,1.0,2015-09-21 00:00:00
2.0,1.0,2015-09-28 00:00:00
3.0,1.0,2015-10-05 00:00:00
3.0,1.0,2015-10-12 00:00:00
3.0,1.0,2015-10-19 00:00:00
3.0,1.0,2015-10-26 00:00:00
3.0,1.0,2015-11-02 00:00:00
3.0,1.0,2015-11-09 00:00:00
3.0,1.0,2015-11-16 00:00:00
3.0,1.0,2015-11-30 00:00:00
3.0,1.0,2015-12-07 00:00:00
3.0,1.0,2015-12-21 00:00:00
3.0,1.0,2015-12-28 00:00:00
3.0,1.0,2016-01-04 00:00:00
3.0,1.0,2016-01-11 00:00:00
3.0,1.0,2016-01-18 00:00:00
3.0,1.0,2016-01-25 00:00:00
3.0,1.0,2016-02-01 00:00:00
3.0,1.0,2016-02-08 00:00:00
3.0,1.0,2016-02-15 00:00:00
3.0,1.0,2016-02-29 00:00:00
3.0,1.0,2016-03-07 00:00:00
3.0,1.0,2016-03-14 00:00:00
3.0,1.0,2016-03-21 00:00:00
3.0,1.0,2016-03-28 00:00:00
3.0,1.0,2016-04-04 00:00:00
3.0,1.0,2016-04-11 00:00:00
3.0,1.0,2016-04-25 00:00:00
3.0,1.0,2016-05-02 00:00:00
3.0,1.0,2016-05-09 00:00:00
3.0,1.0,2016-05-16 00:00:00
3.0,1.0,2016-05-23 00:00:00
3.0,1.0,2016-05-30 00:00:00
3.0,1.0,2016-06-06 00:00:00
3.0,1.0,2016-06-13 00:00:00
3.0,1.0,2016-06-20 00:00:00
3.0,1.0,2016-06-27 00:00:00
3.0,1.0,2016-07-04 00:00:00
3.0,1.0,2016-07-11 00:00:00
3.0,1.0,2016-07-18 00:00:00
3.0,1.0,2016-07-25 00:00:00
3.0,1.0,2016-08-01 00:00:00
3.0,1.0,2016-08-08 00:00:00
3.0,1.0,2016-08-22 00:00:00
3.0,1.0,2016-08-29 00:00:00
3.0,1.0,2016-09-05 00:00:00
3.0,1.0,2016-09-12 00:00:00
3.0,1.0,2016-09-26 00:00:00
3.0,1.0,2016-10-03 00:00:00
3.0,1.0,2016-10-17 00:00:00
3.0,1.0,2016-10-24 00:00:00
3.0,1.0,2016-10-31 00:00:00
3.0,1.0,2016-11-07 00:00:00
3.0,1.0,2016-11-14 00:00:00
3.0,1.0,2016-11-21 00:00:00
3.0,1.0,2016-11-28 00:00:00
3.0,1.0,2016-12-05 00:00:00
3.0,1.0,2016-12-12 00:00:00
3.0,1.0,2016-12-19 00:00:00
3.0,1.0,2016-12-26 00:00:00
3.0,1.0,2017-01-02 00:00:00
3.0,1.0,2017-01-09 00:00:00
3.0,1.0,2017-01-16 00:00:00
3.0,1.0,2017-01-23 00:00:00
3.0,1.0,2017-01-30 00:00:00
3.0,1.0,2017-02-06 00:00:00
3.0,1.0,2017-02-13 00:00:00
3.0,1.0,2017-02-20 00:00:00
3.0,1.0,2017-02-27 00:00:00
3.0,1.0,2017-03-06 00:00:00
