user,userStats,yearJoined
0,silver,2014
1,silver,2015
2,silver,2016
3,bronze,2018
4,silver,2018
5,bronze,2017
6,inactive,2016
7,silver,2018
8,inactive,2017
9,silver,2016
10,silver,2014
11,silver,2015
12,gold,2018
13,silver,2018
14,bronze,2016
15,silver,2017
16,bronze,2017
17,silver,2018
18,bronze,2015
19,bronze,2016
20,inactive,2016
21,gold,2018
22,bronze,2018
23,gold,2017
24,gold,2016
25,inactive,2014
26,silver,2017
27,silver,2018
28,bronze,2016
29,bronze,2016
30,silver,2018
31,gold,2014
32,inactive,2018
33,silver,2015
34,bronze,2015
35,gold,2015
36,bronze,2018
37,silver,2018
38,gold,2014
39,gold,2017
40,silver,2017
41,bronze,2016
42,bronze,2015
43,silver,2018
44,inactive,2018
45,bronze,2016
46,bronze,2017
47,bronze,2018
48,bronze,2018
49,gold,2018
50,bronze,2017
51,bronze,2017
52,bronze,2016
53,silver,2018
54,silver,2014
55,bronze,2018
56,silver,2017
57,bronze,2016
58,bronze,2017
59,bronze,2017
60,inactive,2018
61,bronze,2018
62,bronze,2018
63,inactive,2017
64,bronze,2016
65,bronze,2017
66,gold,2017
67,bronze,2018
68,gold,2015
69,gold,2017
70,bronze,2017
71,bronze,2016
72,silver,2018
73,gold,2017
74,inactive,2016
75,bronze,2014
76,bronze,2017
77,bronze,2018
78,silver,2017
79,silver,2018
80,bronze,2016
81,inactive,2014
82,inactive,2018
83,bronze,2014
84,bronze,2017
85,bronze,2015
86,gold,2016
87,silver,2018
88,bronze,2017
89,inactive,2016
90,bronze,2015
91,bronze,2018
92,bronze,2018
93,silver,2015
94,bronze,2018
95,bronze,2014
96,silver,2015
97,gold,2017
98,silver,2014
99,silver,2018
100,bronze,2017
101,bronze,2016
102,silver,2016
103,bronze,2016
104,gold,2016
105,gold,2018
106,silver,2018
107,inactive,2016
108,bronze,2016
109,silver,2017
110,bronze,2017
111,silver,2015
112,silver,2016
113,bronze,2016
114,silver,2017
115,inactive,2018
116,silver,2014
117,bronze,2017
118,silver,2018
119,silver,2017
120,silver,2017
121,bronze,2017
122,bronze,2016
123,silver,2018
124,bronze,2017
125,bronze,2017
126,bronze,2017
127,silver,2016
128,silver,2016
129,silver,2015
130,bronze,2016
131,bronze,2017
132,bronze,2017
133,gold,2015
134,inactive,2014
135,silver,2014
136,bronze,2018
137,bronze,2015
138,gold,2016
139,bronze,2017
140,silver,2018
141,silver,2018
142,silver,2018
143,gold,2018
144,silver,2015
145,gold,2017
146,inactive,2015
147,inactive,2018
148,silver,2015
149,silver,2016
150,inactive,2018
151,silver,2015
152,bronze,2016
153,bronze,2014
154,bronze,2018
155,bronze,2014
156,bronze,2018
157,bronze,2018
158,bronze,2017
159,bronze,2015
160,bronze,2017
161,bronze,2016
162,bronze,2017
163,gold,2017
164,silver,2018
165,inactive,2017
166,inactive,2017
167,silver,2018
168,silver,2017
169,bronze,2017
170,bronze,2017
171,silver,2018
172,bronze,2018
173,bronze,2018
174,bronze,2014
175,silver,2015
176,bronze,2015
177,bronze,2014
178,gold,2018
179,bronze,2017
180,bronze,2015
181,bronze,2017
182,silver,2018
183,gold,2018
184,silver,2018
185,bronze,2017
186,gold,2017
187,silver,2017
188,bronze,2016
189,silver,2018
190,bronze,2018
191,gold,2018
192,inactive,2014
193,silver,2018
194,silver,2018
195,silver,2018
196,gold,2017
197,silver,2015
198,bronze,2018
199,inactive,2017
200,silver,2017
201,bronze,2016
202,bronze,2016
203,silver,2018
204,bronze,2016
205,bronze,2016
206,inactive,2017
207,bronze,2014
208,silver,2017
209,silver,2018
210,bronze,2018
211,bronze,2015
212,bronze,2017
213,gold,2015
214,silver,2014
215,bronze,2018
216,bronze,2018
217,bronze,2016
218,bronze,2017
219,bronze,2015
220,inactive,2014
221,bronze,2015
222,bronze,2017
223,bronze,2018
224,silver,2015
225,bronze,2018
226,gold,2017
227,silver,2015
228,bronze,2018
229,gold,2018
230,silver,2014
231,bronze,2016
232,silver,2016
233,bronze,2017
234,silver,2017
235,silver,2018
236,bronze,2014
237,bronze,2016
238,gold,2016
239,gold,2017
240,bronze,2016
241,bronze,2017
242,silver,2018
243,gold,2017
244,bronze,2018
245,bronze,2017
246,silver,2016
247,bronze,2017
248,silver,2018
249,bronze,2017
250,inactive,2017
251,bronze,2018
252,bronze,2016
253,bronze,2018
254,bronze,2018
255,bronze,2018
256,silver,2017
257,inactive,2018
258,bronze,2017
259,bronze,2017
260,bronze,2017
261,bronze,2017
262,silver,2017
263,bronze,2018
264,gold,2017
265,bronze,2014
266,bronze,2018
267,silver,2018
268,bronze,2017
269,bronze,2014
270,bronze,2014
271,silver,2018
272,inactive,2016
273,silver,2017
274,bronze,2015
275,bronze,2018
276,bronze,2017
277,bronze,2015
278,bronze,2014
279,silver,2017
280,bronze,2016
281,bronze,2018
282,silver,2018
283,silver,2014
284,bronze,2016
285,bronze,2018
286,bronze,2017
287,bronze,2018
288,bronze,2018
289,bronze,2018
290,bronze,2017
291,silver,2018
292,bronze,2018
293,silver,2018
294,gold,2018
295,inactive,2016
296,silver,2016
297,bronze,2018
298,silver,2016
299,bronze,2015
300,silver,2017
301,bronze,2015
302,bronze,2018
303,bronze,2018
304,silver,2015
305,bronze,2018
306,bronze,2017
307,bronze,2016
308,inactive,2017
309,bronze,2016
310,silver,2018
311,bronze,2018
312,bronze,2017
313,bronze,2017
314,silver,2017
315,bronze,2018
316,bronze,2014
317,bronze,2015
318,bronze,2017
319,bronze,2015
320,gold,2018
321,gold,2016
