Catégorie : Toutes les catégories

Mois,grippe: (Île-de-France),grippe -aviaire -vaccin: (Île-de-France),grippe -aviaire -vaccin -porcine -porc -H1N1 -AH1N1 -A -mexicaine -Mexique -pandemie: (Île-de-France)
2004-01,7,5,5
2004-02,11,4,4
2004-03,3,1,1
2004-04,1,1,1
2004-05,1,1,1
2004-06,0,0,0
2004-07,1,1,1
2004-08,1,1,1
2004-09,2,1,1
2004-10,5,3,2
2004-11,4,2,2
2004-12,4,3,3
2005-01,5,4,4
2005-02,11,9,9
2005-03,4,3,3
2005-04,2,2,2
2005-05,2,1,1
2005-06,2,1,1
2005-07,1,0,0
2005-08,4,1,1
2005-09,10,3,3
2005-10,36,8,8
2005-11,14,4,4
2005-12,5,2,2
2006-01,12,4,4
2006-02,32,8,8
2006-03,24,6,5
2006-04,6,2,2
2006-05,4,1,1
2006-06,3,1,1
2006-07,1,1,0
2006-08,1,1,1
2006-09,2,1,1
2006-10,5,2,2
2006-11,5,2,2
2006-12,5,3,2
2007-01,6,4,4
2007-02,9,6,6
2007-03,3,2,2
2007-04,2,1,1
2007-05,1,1,1
2007-06,2,1,1
2007-07,2,1,1
2007-08,2,1,1
2007-09,3,1,1
2007-10,5,3,2
2007-11,4,2,2
2007-12,4,3,3
2008-01,8,7,7
2008-02,7,6,6
2008-03,3,2,2
2008-04,2,1,1
2008-05,1,1,1
2008-06,1,1,1
2008-07,1,1,1
2008-08,1,1,1
2008-09,2,1,1
2008-10,4,2,2
2008-11,4,2,2
2008-12,6,5,5
2009-01,9,8,8
2009-02,4,3,3
2009-03,2,1,1
2009-04,40,38,7
2009-05,33,31,8
2009-06,24,22,5
2009-07,44,41,10
2009-08,64,59,15
2009-09,93,86,20
2009-10,40,35,8
2009-11,100,81,14
2009-12,76,64,12
2010-01,17,15,4
2010-02,5,5,2
2010-03,3,3,1
2010-04,2,2,1
2010-05,2,2,1
2010-06,1,1,1
2010-07,1,1,1
2010-08,2,1,1
2010-09,3,2,1
2010-10,4,2,2
2010-11,3,2,2
2010-12,7,6,5
2011-01,12,12,10
2011-02,6,6,5
2011-03,2,2,2
2011-04,2,2,1
2011-05,1,1,1
2011-06,1,1,1
2011-07,1,1,1
2011-08,1,1,1
2011-09,2,2,1
2011-10,3,2,2
2011-11,4,3,3
2011-12,4,3,3
2012-01,4,4,3
2012-02,10,10,9
2012-03,6,6,5
2012-04,2,2,2
2012-05,1,1,1
2012-06,1,1,1
2012-07,1,1,1
2012-08,1,1,1
2012-09,2,2,2
2012-10,4,3,3
2012-11,4,3,3
2012-12,8,7,6
2013-01,12,11,10
2013-02,15,15,14
2013-03,6,6,5
2013-04,4,3,3
2013-05,2,2,2
2013-06,1,1,1
2013-07,1,1,1
2013-08,1,1,1
2013-09,2,2,2
2013-10,4,3,3
2013-11,4,3,3
2013-12,5,4,4
2014-01,5,5,5
2014-02,9,9,8
2014-03,4,4,4
2014-04,2,2,2
2014-05,1,1,1
2014-06,1,1,1
2014-07,1,1,1
2014-08,2,1,1
2014-09,2,2,2
2014-10,5,4,3
2014-11,5,3,3
2014-12,6,5,5
2015-01,13,13,12
2015-02,26,26,24
2015-03,8,8,7
2015-04,3,3,3
2015-05,2,2,2
2015-06,1,1,1
2015-07,1,1,1
2015-08,1,1,1
2015-09,3,2,2
2015-10,5,3,3
2015-11,5,3,3
2015-12,7,4,4
2016-01,8,6,6
2016-02,15,14,13
2016-03,15,14,14
2016-04,6,5,5
2016-05,2,2,2
2016-06,2,2,1
2016-07,1,1,1
2016-08,1,1,1
2016-09,2,2,2
2016-10,6,4,4
