Id,week,region_code,region_name,TauxGrippe
3235,201352,42,ALSACE,7
3236,201352,72,AQUITAINE,0
3237,201352,83,AUVERGNE,88
3238,201352,25,BASSE-NORMANDIE,15
3239,201352,26,BOURGOGNE,0
3240,201352,53,BRETAGNE,67
3241,201352,24,CENTRE,89
3242,201352,21,CHAMPAGNE-ARDENNE,46
3243,201352,94,CORSE,8
3244,201352,43,FRANCHE-COMTE,34
3245,201352,23,HAUTE-NORMANDIE,23
3246,201352,91,LANGUEDOC-ROUSSILLON,26
3247,201352,74,LIMOUSIN,94
3248,201352,41,LORRAINE,17
3249,201352,73,MIDI-PYRENEES,38
3250,201352,31,NORD-PAS-DE-CALAIS,8
3251,201352,52,PAYS-DE-LA-LOIRE,6
3252,201352,22,PICARDIE,22
3253,201352,54,POITOU-CHARENTES,88
3254,201352,93,PROVENCE-ALPES-COTE-D-AZUR,49
3255,201352,11,ILE-DE-FRANCE,24
3256,201352,82,RHONE-ALPES,80
3257,201351,42,ALSACE,28
3258,201351,72,AQUITAINE,0
3259,201351,83,AUVERGNE,88
3260,201351,25,BASSE-NORMANDIE,14
3261,201351,26,BOURGOGNE,0
3262,201351,53,BRETAGNE,73
3263,201351,24,CENTRE,31
3264,201351,21,CHAMPAGNE-ARDENNE,16
3265,201351,94,CORSE,0
3266,201351,43,FRANCHE-COMTE,24
3267,201351,23,HAUTE-NORMANDIE,35
3268,201351,91,LANGUEDOC-ROUSSILLON,4
3269,201351,74,LIMOUSIN,136
3270,201351,41,LORRAINE,10
3271,201351,73,MIDI-PYRENEES,81
3272,201351,31,NORD-PAS-DE-CALAIS,14
3273,201351,52,PAYS-DE-LA-LOIRE,10
3274,201351,22,PICARDIE,31
3275,201351,54,POITOU-CHARENTES,6
3276,201351,93,PROVENCE-ALPES-COTE-D-AZUR,67
3277,201351,11,ILE-DE-FRANCE,49
3278,201351,82,RHONE-ALPES,112
3279,201350,42,ALSACE,56
3280,201350,72,AQUITAINE,15
3281,201350,83,AUVERGNE,53
3282,201350,25,BASSE-NORMANDIE,2
3283,201350,26,BOURGOGNE,0
3284,201350,53,BRETAGNE,39
3285,201350,24,CENTRE,22
3286,201350,21,CHAMPAGNE-ARDENNE,53
3287,201350,94,CORSE,0
3288,201350,43,FRANCHE-COMTE,6
3289,201350,23,HAUTE-NORMANDIE,6
3290,201350,91,LANGUEDOC-ROUSSILLON,8
3291,201350,74,LIMOUSIN,72
3292,201350,41,LORRAINE,2
3293,201350,73,MIDI-PYRENEES,63
3294,201350,31,NORD-PAS-DE-CALAIS,82
3295,201350,52,PAYS-DE-LA-LOIRE,6
3296,201350,22,PICARDIE,0
3297,201350,54,POITOU-CHARENTES,36
3298,201350,93,PROVENCE-ALPES-COTE-D-AZUR,113
3299,201350,11,ILE-DE-FRANCE,13
3300,201350,82,RHONE-ALPES,62
3301,201349,42,ALSACE,14
3302,201349,72,AQUITAINE,28
3303,201349,83,AUVERGNE,26
3304,201349,25,BASSE-NORMANDIE,0
3305,201349,26,BOURGOGNE,0
3306,201349,53,BRETAGNE,55
3307,201349,24,CENTRE,17
3308,201349,21,CHAMPAGNE-ARDENNE,73
3309,201349,94,CORSE,0
3310,201349,43,FRANCHE-COMTE,17
3311,201349,23,HAUTE-NORMANDIE,0
3312,201349,91,LANGUEDOC-ROUSSILLON,1
3313,201349,74,LIMOUSIN,0
